City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,baikonur,45.6167,63.3167,33.11,18,93,0.39,KZ,2023-07-22
79,porto novo,6.4965,2.6036,24.97,89,100,3.37,BJ,2023-07-22
80,tiksi,71.6872,128.8694,10.96,69,100,3.51,RU,2023-07-22
81,codrington,-38.2667,141.9667,11.97,77,100,3.62,AU,2023-07-22
82,springbok,-29.6643,17.8865,10.25,21,100,2.25,ZA,2023-07-22
83,vlore,40.4667,19.4897,32.85,39,0,4.67,AL,2023-07-22
84,floro,61.5996,5.0328,14.98,67,40,2.57,NO,2023-07-22
85,bethel,41.3712,-73.414,20.36,87,0,0.0,US,2023-07-22
86,whitehorse,60.7161,-135.0538,17.12,75,100,2.68,CA,2023-07-22
87,chonchi,-42.6128,-73.8092,6.73,97,100,1.16,CL,2023-07-22
88,grytviken,-54.2811,-36.5092,-2.54,82,100,5.6,GS,2023-07-22
89,anadyr,64.75,177.4833,17.28,72,0,6.0,RU,2023-07-22
90,saipan,15.1355,145.701,29.39,100,75,3.6,MP,2023-07-22
91,bowen,-20.0167,148.2333,22.49,67,100,3.25,AU,2023-07-22
92,medina,24.4686,39.6142,39.24,7,0,3.6,SA,2023-07-22
93,aykhal,66.0,111.5,27.32,35,100,8.99,RU,2023-07-22
94,port erin,54.0849,-4.751,13.93,100,100,6.17,IM,2023-07-22
95,fale old settlement,-9.3852,-171.2468,28.57,73,8,3.73,TK,2023-07-22
96,mount gambier,-37.8333,140.7667,10.42,92,63,3.29,AU,2023-07-22
97,shyryayeve,47.3805,30.1964,25.2,46,100,6.05,UA,2023-07-22
98,cadale,2.7603,46.3222,26.91,73,97,8.19,SO,2023-07-22
99,kaliua,-5.0606,31.7936,23.48,42,40,4.49,TZ,2023-07-22
100,ilulissat,69.2167,-51.1,6.01,93,100,0.0,GL,2023-07-22
101,klaksvik,62.2266,-6.589,12.51,92,100,4.51,FO,2023-07-22
102,dzhetygara,52.1908,61.2006,25.95,38,13,5.3,KZ,2023-07-22
103,runaway bay,18.4596,-77.3357,26.39,83,14,4.31,JM,2023-07-22
104,alaghsas,17.0187,8.0168,30.68,44,8,4.04,NE,2023-07-22
105,rio grande da serra,-23.7442,-46.3983,15.17,95,17,2.14,BR,2023-07-22
106,laguna,38.421,-121.4238,30.17,50,0,3.09,US,2023-07-22
107,hazard,37.2495,-83.1932,21.13,85,100,0.58,US,2023-07-22
108,remire-montjoly,4.9167,-52.2667,24.02,100,100,0.0,GF,2023-07-22
109,tolanaro,-25.0319,46.9987,21.5,69,24,5.9,MG,2023-07-22
110,stanthorpe,-28.6667,151.95,11.9,53,0,2.06,AU,2023-07-22
111,avarua,-21.2078,-159.775,21.03,88,75,4.12,CK,2023-07-22
112,myshkin,57.7897,38.4545,18.92,60,23,5.31,RU,2023-07-22
113,quellon,-43.1167,-73.6167,6.14,93,100,3.09,CL,2023-07-22
114,presidente medici,-11.1753,-61.9014,19.11,49,0,0.92,BR,2023-07-22
115,russkaya polyana,49.417,31.9201,19.55,54,100,2.69,UA,2023-07-22
116,stanley,54.868,-1.6985,12.38,94,75,2.06,GB,2023-07-22
117,college,64.8569,-147.8028,22.99,53,20,1.54,US,2023-07-22
118,isangel,-19.55,169.2667,20.06,63,97,3.12,VU,2023-07-22
119,scone,56.4194,-3.4051,14.93,89,97,0.89,GB,2023-07-22
